"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.01817 127844 0.0 1.0000 1.0000 0.9992 1.0000 1.0000 1.0000 0.9992
0.01827 127831 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01837 127818 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01847 127805 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01857 127792 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01867 127779 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01877 127766 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01887 127753 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01897 127740 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01907 127727 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01917 127714 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01927 127701 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01937 127688 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.01947 127675 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.01957 127662 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.01967 127649 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.01977 127636 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.01987 127623 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.01997 127610 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02007 127597 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02017 127584 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02027 127571 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02037 127558 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02047 127545 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02057 127532 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02067 127519 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02077 127506 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02087 127493 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02097 127480 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02107 127467 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02117 127454 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02127 127441 0.0 0.9999 1.0000 0.9991 0.9999 0.9999 1.0000 0.9991
0.02137 127428 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02147 127415 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02157 127402 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02167 127389 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02176 127376 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02186 127363 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02196 127350 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02206 127337 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02216 127324 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02226 127311 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02236 127298 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02246 127285 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02256 127272 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02266 127259 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02276 127246 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02286 127233 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02296 127220 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02306 127207 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02316 127194 0.0 0.9999 1.0000 0.9990 0.9999 0.9999 1.0000 0.9990
0.02326 127181 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02336 127168 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02346 127155 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02356 127142 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02366 127129 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02376 127116 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02386 127103 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02396 127090 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
0.02406 127077 0.0 0.9999 1.0000 0.9989 0.9999 0.9999 1.0000 0.9989
