"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00834 122672 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00844 122660 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00854 122648 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00863 122636 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00873 122624 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00883 122612 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00892 122600 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00902 122588 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00912 122576 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00922 122564 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00931 122552 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00941 122540 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00951 122528 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00960 122516 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00970 122504 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00980 122492 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00989 122480 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00999 122468 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.01009 122456 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.01019 122444 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.01028 122432 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.01038 122420 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.01048 122408 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.01057 122396 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.01067 122384 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.01077 122372 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.01086 122360 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.01096 122348 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.01106 122336 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.01116 122324 0.0 1.0000 1.0000 0.9995 1.0000 1.0000 1.0000 0.9995
0.01125 122312 0.0 1.0000 1.0000 0.9995 1.0000 1.0000 1.0000 0.9995
0.01135 122300 0.0 1.0000 1.0000 0.9995 1.0000 1.0000 1.0000 0.9995
0.01145 122288 0.0 1.0000 1.0000 0.9995 1.0000 1.0000 1.0000 0.9995
0.01154 122276 0.0 1.0000 1.0000 0.9995 1.0000 1.0000 1.0000 0.9995
0.01164 122264 0.0 1.0000 1.0000 0.9995 1.0000 1.0000 1.0000 0.9995
0.01174 122252 0.0 1.0000 1.0000 0.9995 1.0000 1.0000 1.0000 0.9995
0.01183 122240 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01193 122228 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01203 122216 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01213 122204 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01222 122192 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01232 122180 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01242 122168 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01251 122156 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01261 122144 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01271 122132 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01280 122120 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01290 122108 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01300 122096 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01310 122084 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01319 122072 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01329 122060 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01339 122048 0.0 0.9999 1.0000 0.9995 0.9999 0.9999 1.0000 0.9995
0.01348 122036 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01358 122024 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01368 122012 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01377 122000 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01387 121988 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01397 121976 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01407 121964 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01416 121952 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01426 121940 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01436 121928 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01445 121916 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01455 121904 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01465 121892 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01474 121880 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01484 121868 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01494 121856 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01504 121844 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01513 121832 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01523 121820 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01533 121808 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01542 121796 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01552 121784 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01562 121772 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01571 121760 0.0 0.9999 1.0000 0.9994 0.9999 0.9999 1.0000 0.9994
0.01581 121748 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01591 121736 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01601 121724 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01610 121712 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01620 121700 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01630 121688 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01639 121676 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01649 121664 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01659 121652 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01668 121640 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01678 121628 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01688 121616 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01698 121604 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01707 121592 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01717 121580 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01727 121568 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01736 121556 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01746 121544 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01756 121532 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01766 121520 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01775 121508 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01785 121496 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01795 121484 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01804 121472 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01814 121460 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01824 121448 0.0 0.9999 1.0000 0.9993 0.9999 0.9999 1.0000 0.9993
0.01833 121436 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01843 121424 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01853 121412 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01863 121400 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01872 121388 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01882 121376 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01892 121364 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01901 121352 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01911 121340 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
0.01921 121328 0.0 0.9999 1.0000 0.9992 0.9999 0.9999 1.0000 0.9992
